LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average
0.31724137931034485,0.06436781609195402,0.25747126436781614,0.0,0.11954022988505747,0.0,0.09310344827586205,0.03333333333333334,0.0,0.0020434227330778927
0.24022988505747128,0.0,0.0,0.0,0.14367816091954022,0.0,0.20229885057471259,0.0,0.25747126436781614,0.0036895132680573066
0.5103448275862069,0.1655172413793103,0.22988505747126434,0.11954022988505753,0.2988505747126437,0.0,0.8781609195402298,0.0,0.0,0.004767986377181791
0.09310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011494252873563264
0.11954022988505751,0.11954022988505744,0.11954022988505744,0.0,0.16551724137931034,0.0,0.3091954022988505,0.0,0.0,0.0026252305945792605
0.4091954022988503,0.2482758620689656,0.2482758620689656,0.0,0.2540229885057472,0.0,2.1436781609195403,0.09310344827586209,0.0,0.00654179083297851
0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004115226337448568
0.27586206896551724,0.25747126436781614,0.21724137931034476,1.7482758620689651,0.0,0.0,1.8850574712643677,0.0,0.0,0.01668795232013623
0.0,0.0,0.0,0.0,0.2482758620689654,0.0,0.2482758620689654,0.0,0.0,0.0
0.06436781609195409,0.06436781609195404,0.06436781609195402,0.0,0.0,0.0,0.1436781609195403,0.2586206896551724,0.0,0.004881509862352757
0.25747126436781614,0.20229885057471267,0.2540229885057471,0.0,0.0,0.0,0.4091954022988506,0.0,0.0,0.0029658010500922334
0.5298850574712645,0.3862068965517241,0.0,1.8678160919540234,0.14367816091954025,0.0,1.2,0.0,0.0,0.012217965091528327
