Run,LM #,Place,Main Concept,Taxonomy,Knowledge Density (Subjective),Engagement Type,Content Type,Time to Complete,Uses Real World Examples,Requires Special Access,Multimedia Principle,Coherence Principle,Segmenting Principle,Worked Example Principle,Signaling Principle,Spatial Contiguity Principle,Temporal Contiguity Principle,Modality Principle,Redundancy Principle,Personalization Principle,Voice Principle,Sourcing Principle,Title,Author,Organization,Filename/Resource Link,Avolve Link,KNs Covered,Description,Publish Date
1,4,0,Responsible AI,Knowledge,Low,Video,Educational,1:54,Yes,No,4,1,0,0,2,4,4,4,4,4,4,3,Our approach to responsible AI,Microsoft,Microsoft,https://www.youtube.com/watch?v=dnC8-uUZXSc,https://avolve.apps.dso.mil/#/display/fee998de-479c-40b7-b4b9-a30fda51ffd6,['Responsible AI'],"This brief 2 minute video details Microsoft's approach to responsible AI. Learn how they put principles into practice by embracing diverse perspectives, fostering continuous learning and proactively responding as AI technology evolves.",2020-05-13 00:00:00
1,1,1,Law,Knowledge,Medium,Text,Article,14:34,No,No,4,2,4,0,4,0,0,0,0,3,0,4,Artificial Intelligence and the Law,Tomas Weber,Stanford Lawyer,https://law.stanford.edu/stanford-lawyer/articles/artificial-intelligence-and-the-law/,https://avolve.apps.dso.mil/#/display/f4a636fd-b60a-4b1e-8ab6-5101abd2d937,['Law'],"In this article, the dangers of AI-powered chatbots causing harm, legal liability issues, and AI's impact on access to justice and copyright are explored. Experts warn of impending challenges and the need for regulatory adaptation.",2023-12-05 00:00:00
1,3,2,Legal issues in AI,Knowledge,Medium,Video,Educational,7:30,Yes,No,4,3,4,0,3,4,4,4,4,4,4,3,The Artificial Intelligence Dilemma: Can Laws Keep Up?,,Bloomberg Law,https://www.youtube.com/watch?v=ZLCfasjTWvY,https://avolve.apps.dso.mil/#/display/06bce1ff-8127-4529-8820-e6d1e8c63f4f,['Legal issues in AI'],"Bloomberg Law covers the artificial intelligence dilemma: Can laws keep up with AI? As AI progresses as an ever faster pace, can lawmakers keep pace with it? This video looks at what laws are currently in place to regulate AI, what options lawmakers should consider, and what role the tech industry should play.",2023-05-30 00:00:00
1,0,3,Automation of Routine Forms,Apply,High,Text,Research,15:17,Yes,IEEE,4,2,4,0,4,2,0,0,0,1,0,4,Robotic Process Automation with AI and OCR to Improve Business Process: Review,"Ganeshayya Shidaganti, Sreya Salil, Prarthana Anand, Vaishnavi Jadhav",,https://ieeexplore.ieee.org/document/9532902,https://avolve.apps.dso.mil/#/display/2f9d6cbc-f24a-4f7a-b634-05b998852809,"['Automation of Routine Forms', 'Natural Language Processing', 'Computer Vision']","This research paper discusses how businesses can enhance their automation efforts through the integration of Artificial Intelligence (AI) and Optical Character Recognition (OCR) technologies into Robotic Process Automation (RPA), forming Intelligent Process Automation (IPA). While traditional RPA focuses on rule-based tasks, IPA leverages AI to enable machines to make decisions and adapt to changes autonomously. By incorporating OCR, which enables text interpretation from images, into BPA, organizations can streamline routine tasks such as data entry, identity verification, and scheduling meetings, thus allowing employees to focus on more value-added activities.",9/23/2021
1,2,4,Learning of sequences: RNNs,Apply,High,Text,Research,15:51,Yes,IEEE,2,4,4,0,3,3,0,0,0,1,0,4,Recurrent Neural Network and Convolutional Neural Network for Detection of Denial of Service Attack in Microservices,"Wonjun Lee, Yung Ryn Choe, Raiat Subhra Ghosh",,https://ieeexplore.ieee.org/document/10459744,https://avolve.apps.dso.mil/#/display/c8b6e879-2b69-4526-8efa-dd432e27835b,['Learning of sequences: RNNs'],"This research delves into the vulnerabilities within containerized cloud computing systems, particularly in the context of microservices architecture. By employing Recurrent Neural Network and Convolutional Neural Network models trained on relevant datasets, the study successfully identifies and mitigates a specific type of Denial of Service attack targeting internal microservice communications. The findings showcase impressive detection rates, with the Recurrent Neural Network achieving 98.4% and the Convolutional Neural Network reaching 97.0%, alongside minimal false detections.",4/19/2024
1,5,5,Training of artificial neural networks,Apply,High,Text,Research,5:39,Yes,IEEE,1,0,0,0,0,0,0,0,0,0,0,0,Training Artificial Neural Network to Classify Correct and Erroneous Interpretations of Visual Stimuli before Behavioral Response,"Alexander Kuc, Alisa Batmanova, Vladimir Maksimenko",,https://ieeexplore.ieee.org/document/9923233,https://avolve.apps.dso.mil/#/display/325e44c5-40e1-4a07-a5de-7551eaeab1ad,['Training of artificial neural networks'],"In the study, an artificial neural network (ANN) was trained to differentiate between correct and erroneous interpretations of complex visual stimuli, such as Necker cubes with different levels of ambiguity. With the selected configuration, the ANN achieved a classification accuracy of 88%. These results hold promise for the development of new-generation assistive technologies.",10/21/2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0,Responsible AI,Knowledge,Low,Video,Educational,9:15,Yes,No,4,4,3,0,4,4,4,4,2,2,1,2,Introduction to Responsible AI,Google Cloud Tech,Google,https://www.youtube.com/watch?v=3-xhMXeYIcg,https://avolve.apps.dso.mil/#/display/bc4eab76-c4bc-4ce0-ae87-177d5eccab63,['Responsible AI'],"In this video, learn about the importance of responsible AI, and how Google implements responsible AI in their products. You will also get an introduction to Google's 7 AI principles.",2023-06-29 00:00:00
2,0,1,Law,Knowledge,Medium,Video,Educational,12:09,No,No,4,4,4,0,4,0,4,4,4,4,4,3,AI in Law: A New Era of Accessible Justice | Noah Wong | TEDxMenloSchool,Noah Wong,TEDx Talks,https://www.youtube.com/watch?v=F46lwq0Rl4k,https://avolve.apps.dso.mil/#/display/f14a6f20-df5c-46e3-89f5-a26b60ed728b,['Law'],"Delve into the synergy between AI and law, a realm where rule interpretation meets big data. Stanford Fellow Noah Wong demystifies AI's current legal applications and its limitations, while exploring innovative strategies to extend justice to the underserved. Discover how this technology is reshaping the legal landscape and opening new avenues for equitable justice.",2024-01-16 00:00:00
2,1,2,Learning of sequences: RNNs,Apply,High,Text,Research,14:51,Yes,IEEE,2,4,4,0,2,2,0,0,0,1,0,4,Progressive Learning With Recurrent Neural Network for Sequence Classification,"Rupesh Raj Karn, Johann Knechtel, Ozgur Sinanoglu",,https://ieeexplore.ieee.org/document/10371399,https://avolve.apps.dso.mil/#/display/8684cc8e-180b-4a8c-8407-d5afcc5ce204,['Learning of sequences: RNNs'],"Progressive learning, a framework in deep learning, sequentially learns tasks and leverages past knowledge to aid in learning new ones, crucial for handling dynamic data. While widely accepted in convolutional and fully connected networks, its application in recurrent neural networks (RNNs) for sequence classification lacks documentation. The proposed method for progressive learning using RNNs employs Ray Tune for concurrent hyper-parameter tuning, demonstrated on MNIST and Devanagari image datasets.",12/22/2023
2,3,3,Training of artificial neural networks,Apply,High,Text,Research,11:14,Yes,IEEE,4,3,4,0,4,2,0,0,0,1,0,4,Massive-Training Artificial Neural Network (Mtann) With Special Kernel For Artifact Reduction In Fast-Acquisition Mri Of The Knee,"Maodong Xiang, Ze Jin, Kenji Suzuki",,https://ieeexplore.ieee.org/document/9434060,https://avolve.apps.dso.mil/#/display/7f598f34-43e9-457b-9bd9-62c8012cf960,['Training of artificial neural networks'],This study introduces a novel approach to reduce artifacts in MRI images reconstructed from under-sampled k-space data in fast-acquisition MRI. The proposed method combines a massive-training artificial neural network (MTANN) scheme with a k-space-sampling-pattern-specific kernel to preserve anatomical structures while reducing artifacts. Evaluation on MR images of 20 patients across 795 slices demonstrated substantial artifact reduction without compromising image quality.,5/25/2021
