cognitive_levels,goal1,goal2,preferred_media,research,website,discussion,educational,news_article,diy,lecture,powerpoint,textbook_excerpt,max_time,time_per_session
"[3, 2, 4, 4, 4, 3, 3, 4, 3, 4, 3, 2, 2, 3, 2, 2, 2, 3, 3, 3]",13,17,Video,4,1,3,2,9,6,7,5,8,120,20
"[2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1]",8,13,Video,8,1,3,5,7,6,2,9,4,180,20
"[2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2, 2, 1, 1, 3, 2, 2, 2]",8,9,Video,2,6,9,5,8,1,4,3,7,40,10
"[2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1]",0,18,Video,9,5,2,6,8,4,3,1,7,120,60
"[2, 2, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1]",5,10,Video,6,1,3,8,7,5,4,2,9,60,20
"[3, 2, 1, 3, 2, 2, 2, 1, 1, 4, 2, 3, 2, 2, 2, 2, 3, 4, 4, 2]",6,10,No_Preference,8,1,3,5,6,9,4,2,7,120,180
"[2, 3, 1, 2, 1, 2, 2, 3, 3, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2]",7,8,Video,1,4,2,3,6,5,4,8,9,90,120
"[2, 2, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 1, 1, 1, 2, 1, 2, 2, 2]",8,16,Video,6,8,2,3,9,7,1,4,5,90,90
"[3, 3, 2, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 1, 1, 2, 3, 2, 2, 2]",9,10,Video,6,7,1,2,9,5,3,4,8,90,90
"[3, 2, 2, 3, 1, 1, 2, 1, 2, 3, 1, 4, 2, 2, 1, 1, 2, 4, 4, 3]",5,7,Video,9,4,1,2,6,8,3,5,7,120,120
"[3, 2, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 1, 2, 3, 3, 2]",10,12,Written,5,7,2,6,4,8,1,9,3,240,60
"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0,19,Video,9,5,3,2,1,7,6,4,8,20,10
